epoch,step,train_loss,val_loss
0,49,0.1196260005235672,
0,99,0.2284296602010727,
0,149,0.22742736339569092,
0,199,0.2963845729827881,
0,249,0.23329094052314758,
0,299,0.17804139852523804,
0,349,0.17836350202560425,
0,399,0.14781975746154785,
0,449,0.2059706151485443,
0,499,0.19346654415130615,
0,549,0.19563838839530945,
0,599,0.18682454526424408,
0,649,0.14353099465370178,
0,699,0.13275182247161865,
0,749,0.1544617861509323,
0,799,0.24654102325439453,
0,849,0.2367226481437683,
0,899,0.0925617590546608,
0,949,0.168051615357399,
0,999,0.188484787940979,
0,1049,0.11355195939540863,
0,1099,0.18638047575950623,
0,1149,0.1625700294971466,
0,1199,0.17826826870441437,
0,1249,0.14867956936359406,
0,1299,0.15979483723640442,
0,1349,0.1681361347436905,
0,1399,0.1702144294977188,
0,1449,0.2460174560546875,
0,1454,,0.19055123627185822
1,1499,0.18177399039268494,
1,1549,0.2512381672859192,
1,1599,0.1606154888868332,
1,1649,0.1020519956946373,
1,1699,0.16611480712890625,
1,1749,0.18173298239707947,
1,1799,0.12271372973918915,
1,1849,0.3805025815963745,
1,1899,0.13425323367118835,
1,1949,0.2913680672645569,
1,1999,0.1703740656375885,
1,2049,0.1484535038471222,
1,2099,0.1899959146976471,
1,2149,0.13464051485061646,
1,2199,0.11776971071958542,
1,2249,0.11633787304162979,
1,2299,0.1677292287349701,
1,2349,0.12855300307273865,
1,2399,0.2588387131690979,
1,2449,0.23140211403369904,
1,2499,0.18910181522369385,
1,2549,0.16236332058906555,
1,2599,0.16782709956169128,
1,2649,0.2624239921569824,
1,2699,0.12937457859516144,
1,2749,0.24066749215126038,
1,2799,0.18161793053150177,
1,2849,0.28675487637519836,
1,2899,0.17394517362117767,
1,2909,,0.18971197307109833
2,2949,0.11378268897533417,
2,2999,0.2611643075942993,
2,3049,0.23577772080898285,
2,3099,0.15608751773834229,
2,3149,0.0834427997469902,
2,3199,0.21915119886398315,
2,3249,0.17257168889045715,
2,3299,0.20426440238952637,
2,3349,0.20674338936805725,
2,3399,0.18542203307151794,
2,3449,0.22338059544563293,
2,3499,0.18289276957511902,
2,3549,0.11029718816280365,
2,3599,0.11789540946483612,
2,3649,0.10464043915271759,
2,3699,0.1654585748910904,
2,3749,0.16751167178153992,
2,3799,0.1491527259349823,
2,3849,0.10087388753890991,
2,3899,0.1436852067708969,
2,3949,0.24386131763458252,
2,3999,0.15384504199028015,
2,4049,0.2437480390071869,
2,4099,0.3124238848686218,
2,4149,0.25410038232803345,
2,4199,0.23807567358016968,
2,4249,0.2490152269601822,
2,4299,0.29041194915771484,
2,4349,0.1498146653175354,
2,4364,,0.1924072951078415
3,4399,0.17520062625408173,
3,4449,0.19478417932987213,
3,4499,0.14025235176086426,
3,4549,0.17172424495220184,
3,4599,0.1647247076034546,
3,4649,0.2725576162338257,
3,4699,0.21090106666088104,
3,4749,0.23103943467140198,
3,4799,0.16311462223529816,
3,4849,0.2348683774471283,
3,4899,0.11196830868721008,
3,4949,0.14266173541545868,
3,4999,0.20539285242557526,
3,5049,0.23055517673492432,
3,5099,0.24155741930007935,
3,5149,0.24621450901031494,
3,5199,0.29446300864219666,
3,5249,0.20119887590408325,
3,5299,0.0836297869682312,
3,5349,0.10609492659568787,
3,5399,0.18648000061511993,
3,5449,0.14158152043819427,
3,5499,0.14552421867847443,
3,5549,0.19990244507789612,
3,5599,0.1436479240655899,
3,5649,0.17122997343540192,
3,5699,0.23345665633678436,
3,5749,0.2216869294643402,
3,5799,0.26477035880088806,
3,5819,,0.18918317556381226
4,5849,0.24132183194160461,
4,5899,0.1160869300365448,
4,5949,0.22875824570655823,
4,5999,0.11347246170043945,
4,6049,0.12867026031017303,
4,6099,0.06943216919898987,
4,6149,0.18038532137870789,
4,6199,0.18991941213607788,
4,6249,0.13892842829227448,
4,6299,0.21398861706256866,
4,6349,0.16427016258239746,
4,6399,0.14658311009407043,
4,6449,0.12922842800617218,
4,6499,0.2615986168384552,
4,6549,0.13161438703536987,
4,6599,0.14771133661270142,
4,6649,0.34404194355010986,
4,6699,0.20564985275268555,
4,6749,0.13075101375579834,
4,6799,0.15713614225387573,
4,6849,0.160130575299263,
4,6899,0.18459674715995789,
4,6949,0.21760761737823486,
4,6999,0.20364147424697876,
4,7049,0.16548648476600647,
4,7099,0.2749549448490143,
4,7149,0.2511666417121887,
4,7199,0.18129518628120422,
4,7249,0.10800325870513916,
4,7274,,0.18948660790920258
